UTSIRA FM,846
UNDIFFERENTIATED,1080
SKADE FM,1313
NO FORMAL NAME,1451
GRID FM,3008
NO FORMAL NAME,3240
BALDER FM,3302
SELE FM,3403
LISTA FM,3483
HEIMDAL FM,3623
EKOFISK FM,3827
TOR FM,3850
HOD FM,4047
TRYGGVASON FM,4110
BLODØKS FM,4150
SVARTE FM,4168
RØDBY FM,4176
SOLA FM,4188
ÅSGARD FM,4201
DRAUPNE FM,4304
HEATHER FM,4310
HUGIN FM,4317
SKAGERRAK FM,4340
