DEPTH,CALI,COAL,DT,DT_LOG,DTS,DTS_LOG,GR,NPHI,PHIE,PHIEC,PHIT,PHITC,RHOB,RHOB_LOG,RT,RW,TEMP
3530.9555,9.095,0,66.923,66.923,128.3928,128.3928,12.384,0.1013,0.0389,0.0389,0.0389,0.0389,2.5889,2.589,4.281,0.0209,95.4453
3531.1079,9.089,0,66.8199,66.8199,128.1366,128.1366,13.417,0.0985,0.056,0.056,0.056,0.056,2.5621,2.562,4.199,0.0209,95.4495
3531.2603,9.101,0,66.5859,66.5859,127.5469,127.5469,11.32,0.102,0.0586,0.0586,0.0586,0.0586,2.558,2.558,4.192,0.0209,95.4537
3531.4127,9.077,0,66.379,66.379,127.3728,127.3728,10.855,0.0979,0.0573,0.0573,0.0573,0.0573,2.56,2.56,4.231,0.0209,95.458
3531.5651,9.125,0,66.313,66.313,127.0817,127.0817,13.183,0.1009,0.0414,0.0414,0.0414,0.0414,2.5849,2.585,4.239,0.0209,95.4622
3531.7175,9.137,0,66.344,66.344,126.7111,126.7111,11.183,0.0887,0.0522,0.0522,0.0522,0.0522,2.5681,2.568,4.18,0.0209,95.4664
3531.8699,9.059,0,66.35,66.35,126.8784,126.8784,12.082,0.1092,0.0598,0.0598,0.0598,0.0598,2.556,2.556,4.093,0.0209,95.4707
3532.0223,9.053,0,66.308,66.308,127.3958,127.3958,12.251,0.1121,0.0427,0.0427,0.0427,0.0427,2.5829,2.583,4.017,0.0209,95.4749
3532.1747,9.041,0,66.303,66.303,127.0607,127.0607,10.445,0.1148,0.0515,0.0515,0.0515,0.0515,2.5691,2.569,3.977,0.0209,95.4791
3532.3271,9.029,0,66.373,66.373,126.6821,126.6821,12.191,0.102,0.0459,0.0459,0.0459,0.0459,2.578,2.578,4.006,0.0209,95.4834
3532.4795,9.035,0,66.465,66.465,126.7577,126.7577,13.066,0.0994,0.056,0.056,0.056,0.056,2.5621,2.562,4.125,0.0209,95.4876
3532.6319,9.053,0,66.497,66.497,127.6702,127.6702,12.84,0.0946,0.0421,0.0421,0.0421,0.0421,2.5839,2.584,4.307,0.0209,95.4918
3532.7843,9.041,0,66.4129,66.4129,127.8952,127.8952,13.487,0.0913,0.0439,0.0439,0.0439,0.0439,2.581,2.581,4.505,0.0209,95.4961
3532.9367,9.023,0,66.251,66.251,128.1851,128.1851,13.194,0.097,0.0452,0.0452,0.0452,0.0452,2.579,2.579,4.7,0.0209,95.5003
3533.0891,9.041,0,66.131,66.131,128.3433,128.3433,11.134,0.0974,0.0427,0.0427,0.0427,0.0427,2.583,2.583,4.853,0.0209,95.5045
3533.2415,9.011,0,66.1551,66.1551,128.7753,128.7753,13.98,0.098,0.0452,0.0452,0.0452,0.0452,2.579,2.579,4.894,0.0209,95.5088
3533.3939,9.059,0,66.3251,66.3251,129.2389,129.2389,12.654,0.0861,0.042,0.042,0.042,0.042,2.584,2.584,4.802,0.0209,95.513
3533.5463,9.053,0,66.5661,66.5661,129.1597,129.1597,16.226,0.096,0.0452,0.0452,0.0452,0.0452,2.579,2.579,4.64,0.0209,95.5173
3533.6987,9.077,0,66.8211,66.8211,128.7813,128.7813,18.313,0.1045,0.0477,0.0477,0.0477,0.0477,2.575,2.575,4.5,0.0209,95.5215
3533.8511,9.059,0,67.0951,67.0951,127.8828,127.8828,16.12,0.116,0.0363,0.0363,0.0363,0.0363,2.5929,2.593,4.446,0.0209,95.5257
3534.0035,9.023,0,67.3831,67.3831,127.576,127.576,15.189,0.1042,0.0509,0.0509,0.0509,0.0509,2.5701,2.57,4.468,0.0209,95.53
3534.1559,9.041,0,67.611,67.611,127.573,127.573,15.838,0.0951,0.0294,0.0294,0.0294,0.0294,2.6039,2.604,4.5,0.0209,95.5342
3534.3083,9.035,0,67.674,67.674,127.6008,127.6008,14.559,0.1029,0.0496,0.0496,0.0496,0.0496,2.5721,2.572,4.505,0.0209,95.5384
3534.4607,9.053,0,67.5459,67.5459,127.3876,127.3876,16.436,0.1037,0.0484,0.0484,0.0484,0.0484,2.574,2.574,4.498,0.0209,95.5427
3534.6131,9.053,0,67.3169,67.3169,128.1444,128.1444,13.701,0.1048,0.0509,0.0509,0.0509,0.0509,2.57,2.57,4.491,0.0209,95.5469
3534.7655,9.065,0,67.131,67.131,128.7113,128.7113,15.313,0.1044,0.0446,0.0446,0.0446,0.0446,2.58,2.58,4.469,0.0209,95.5511
3534.9179,9.059,0,67.088,67.088,129.159,129.159,12.297,0.1002,0.0477,0.0477,0.0477,0.0477,2.575,2.575,4.429,0.0209,95.5554
3535.0703,9.059,0,67.1911,67.1911,129.2071,129.2071,15.565,0.1112,0.0585,0.0585,0.0585,0.0585,2.5581,2.558,4.362,0.0209,95.5596
3535.2227,9.005,0,67.345,67.345,129.3108,129.3108,15.083,0.1017,0.0579,0.0579,0.0579,0.0579,2.559,2.559,4.254,0.0209,95.5638
3535.3751,9.0051,0,67.433,67.433,129.0503,129.0503,17.608,0.0985,0.0535,0.0535,0.0535,0.0535,2.566,2.566,4.1519,0.0209,95.5681
3535.5275,9.059,0,67.4621,67.4621,129.4836,129.4836,15.358,0.1039,0.0465,0.0465,0.0465,0.0465,2.577,2.577,4.103,0.0209,95.5723
3535.6799,9.041,0,67.5791,67.5791,128.9999,128.9999,12.28,0.1105,0.0554,0.0554,0.0554,0.0554,2.5631,2.563,4.037,0.0209,95.5766
3535.8323,9.059,0,67.8842,67.8842,128.8733,128.8733,13.554,0.1051,0.0712,0.0712,0.0712,0.0712,2.5381,2.538,3.824,0.0209,95.5808
3535.9847,9.059,0,68.2851,68.2851,127.9737,127.9737,13.674,0.1247,0.0802,0.0797,0.0802,0.0797,2.5241,2.524,3.485,0.0209,95.585
3536.1371,9.053,0,68.558,68.558,127.6037,127.6037,16.115,0.1357,0.1081,0.1036,0.1081,0.1036,2.4802,2.48,3.197,0.0209,95.5893
3536.2895,9.029,0,68.5309,68.5309,125.8472,125.8472,13.264,0.1326,0.1127,0.1076,0.1127,0.1076,2.473,2.473,3.07,0.0209,95.5935
3536.4419,9.047,0,68.2438,68.2438,123.3319,123.3319,12.517,0.1455,0.0854,0.0849,0.0854,0.0849,2.5158,2.516,3.1,0.0209,95.5977
3536.5943,9.065,0,67.8658,67.8658,119.109,119.109,11.671,0.1175,0.1145,0.1088,0.1145,0.1088,2.4702,2.47,3.245,0.0209,95.602
3536.7467,9.083,0,67.4838,67.4838,117.7884,117.7884,12.363,0.1105,0.0778,0.0778,0.0778,0.0778,2.5278,2.528,3.48,0.0209,95.6062
3536.8991,9.035,0,67.0538,67.0538,116.9804,116.9804,11.128,0.1057,0.0739,0.0739,0.0739,0.0739,2.534,2.534,3.763,0.0209,95.6104
3537.0515,9.029,0,66.5438,66.5438,117.538,117.538,10.514,0.0921,0.0542,0.0542,0.0542,0.0542,2.5649,2.565,3.995,0.0209,95.6147
3537.2039,9.011,0,66.0238,66.0238,117.5009,117.5009,10.707,0.0973,0.0681,0.0681,0.0681,0.0681,2.5431,2.543,4.078,0.0209,95.6189
3537.3563,9.011,0,65.6209,65.6209,118.6845,118.6845,11.364,0.1049,0.0878,0.0851,0.0878,0.0851,2.5121,2.512,4.044,0.0209,95.6231
3537.5087,9.017,0,65.44,65.44,118.072,118.072,12.274,0.1049,0.0955,0.0916,0.0955,0.0916,2.5,2.5,4.014,0.0209,95.6274
3537.6611,9.059,0,65.5011,65.5011,118.0389,118.0389,14.931,0.1079,0.0771,0.0762,0.0771,0.0762,2.5289,2.529,4.067,0.0209,95.6316
3537.8135,9.053,0,65.7451,65.7451,119.2453,119.2453,14.741,0.0991,0.0663,0.0663,0.0663,0.0663,2.5459,2.546,4.218,0.0209,95.6358
3537.9659,9.041,0,66.0491,66.0491,120.9771,120.9771,16.707,0.1084,0.0605,0.0605,0.0605,0.0605,2.555,2.555,4.432,0.0209,95.6401
3538.1183,9.029,0,66.257,66.257,122.4291,122.4291,16.555,0.1107,0.0579,0.0579,0.0579,0.0579,2.559,2.559,4.63,0.0209,95.6443
