Well,Stratigraphical Unit,Top,Bottom
L07-04,Maassluis Formation,0,448
L07-04,Oosterhout Formation,448,794.59
L07-04,Breda Formation,794.59,802.57
L07-04,Rupel Formation,802.57,890.75
L07-04,Asse Member,890.75,1022
L07-04,Brussels Marl Member,1022,1129
L07-04,Ieper Member,1129,1640.35
L07-04,Basal Dongen Tuffite Member,1640.35,1653.02
L07-04,Landen Clay Member,1653.02,1673
L07-04,Ommelanden Formation,1673,2703
L07-04,Plenus Marl Member,2703,2708
L07-04,Texel Formation,2708,2804
L07-04,Upper Holland Marl Member,2804,2832.66
L07-04,Middle Holland Claystone Member,2832.66,2858
L07-04,Lower Holland Marl Member,2858,2869
L07-04,Vlieland Claystone Formation,2869,2907
L07-04,Middle Muschelkalk Marl Member,2907,2918
L07-04,Muschelkalk Evaporite Member,2918,2927
L07-04,Lower Muschelkalk Member,2927,3013
L07-04,Upper Röt Claystone Member,3013,3092.63
L07-04,Upper Röt Evaporite Member,3092.63,3095.18
L07-04,Intermediate Röt Claystone Member,3095.18,3117.46
L07-04,Main Röt Evaporite Member,3117.46,3169.99
L07-04,Solling Claystone Member,3169.99,3201.18
L07-04,Basal Solling Sandstone Member,3201.18,3203
L07-04,Hardegsen Formation,3203,3227.65
L07-04,Detfurth Claystone Member,3227.65,3244
L07-04,Lower Detfurth Sandstone Member,3244,3261.48
L07-04,Volpriehausen Clay-Siltstone Member,3261.48,3332
L07-04,Lower Volpriehausen Sandstone Member,3332,3385.32
L07-04,Rogenstein Member,3385.32,3554.97
L07-04,Main Claystone Member,3554.97,3710.67
L07-04,Zechstein Upper Claystone Formation,3710.67,3723
L07-04,Zechstein salt (inf.),3723,3801.82
L07-04,Z2 Basal Anhydrite Member,3801.82,3805
L07-04,Z2 Carbonate Member,3805,3813.35
L07-04,Z1 Anhydrite Member,3813.35,3832.12
L07-04,Z1 Carbonate Member,3832.12,3841.57
L07-04,Coppershale Member,3841.57,3842.37
L07-04,Ten Boer Member,3842.37,3912
L07-04,Upper Slochteren Member,3912,3982
L07-04,Ameland Member,3982,4097.52
L07-04,Lower Slochteren Member,4097.52,4177
L07-04,Limburg Groep,4177,4186
