Well:,L05-B-01,,,,
DEPTH,GR,DT,RHOB,DRHO,NPHI
91.9,23.364777,-999.25,-999.25,-999.25,-999.25
92,23.458294,-999.25,-999.25,-999.25,-999.25
92.1,23.565739,-999.25,-999.25,-999.25,-999.25
92.2,23.667091,-999.25,-999.25,-999.25,-999.25
92.3,23.821365,-999.25,-999.25,-999.25,-999.25
92.4,23.790642,-999.25,-999.25,-999.25,-999.25
92.5,23.623135,-999.25,-999.25,-999.25,-999.25
92.6,23.610027,-999.25,-999.25,-999.25,-999.25
92.7,23.798519,-999.25,-999.25,-999.25,-999.25
92.8,24.123951,-999.25,-999.25,-999.25,-999.25
92.9,24.529152,-999.25,-999.25,-999.25,-999.25
93,24.753963,-999.25,-999.25,-999.25,-999.25
93.1,24.740505,-999.25,-999.25,-999.25,-999.25
93.2,24.231682,-999.25,-999.25,-999.25,-999.25
93.3,23.564289,-999.25,-999.25,-999.25,-999.25
93.4,22.918034,-999.25,-999.25,-999.25,-999.25
93.5,22.574219,-999.25,-999.25,-999.25,-999.25
93.6,22.730568,-999.25,-999.25,-999.25,-999.25
93.7,23.439754,-999.25,-999.25,-999.25,-999.25
93.8,24.354256,-999.25,-999.25,-999.25,-999.25
93.9,25.215084,-999.25,-999.25,-999.25,-999.25
94,25.925888,-999.25,-999.25,-999.25,-999.25
94.1,26.044846,-999.25,-999.25,-999.25,-999.25
94.2,25.760483,-999.25,-999.25,-999.25,-999.25
94.3,25.185448,-999.25,-999.25,-999.25,-999.25
94.4,24.267437,-999.25,-999.25,-999.25,-999.25
94.5,23.269363,-999.25,-999.25,-999.25,-999.25
94.6,22.42691,-999.25,-999.25,-999.25,-999.25
94.7,22.158386,-999.25,-999.25,-999.25,-999.25
94.8,22.452057,-999.25,-999.25,-999.25,-999.25
94.9,23.350277,-999.25,-999.25,-999.25,-999.25
95,24.356228,-999.25,-999.25,-999.25,-999.25
95.1,25.129536,-999.25,-999.25,-999.25,-999.25
95.2,25.401394,-999.25,-999.25,-999.25,-999.25
95.3,25.209053,-999.25,-999.25,-999.25,-999.25
95.4,24.787209,-999.25,-999.25,-999.25,-999.25
95.5,24.267681,-999.25,-999.25,-999.25,-999.25
95.6,24.082561,-999.25,-999.25,-999.25,-999.25
95.7,24.309578,-999.25,-999.25,-999.25,-999.25
95.8,24.800461,-999.25,-999.25,-999.25,-999.25
95.9,25.367985,-999.25,-999.25,-999.25,-999.25
96,25.806492,-999.25,-999.25,-999.25,-999.25
96.1,25.692947,-999.25,-999.25,-999.25,-999.25
96.2,25.133842,-999.25,-999.25,-999.25,-999.25
96.3,24.517769,-999.25,-999.25,-999.25,-999.25
96.4,24.284443,-999.25,-999.25,-999.25,-999.25
96.5,24.482666,-999.25,-999.25,-999.25,-999.25
96.6,24.836517,-999.25,-999.25,-999.25,-999.25
96.7,25.037479,-999.25,-999.25,-999.25,-999.25
96.8,24.77195,-999.25,-999.25,-999.25,-999.25
96.9,24.016033,-999.25,-999.25,-999.25,-999.25
97,23.049549,-999.25,-999.25,-999.25,-999.25
97.1,22.322643,-999.25,-999.25,-999.25,-999.25
97.2,22.102634,-999.25,-999.25,-999.25,-999.25
97.3,22.429493,-999.25,-999.25,-999.25,-999.25
97.4,23.052826,-999.25,-999.25,-999.25,-999.25
97.5,23.60434,-999.25,-999.25,-999.25,-999.25
97.6,23.700359,-999.25,-999.25,-999.25,-999.25
97.7,23.215771,-999.25,-999.25,-999.25,-999.25
97.8,22.424561,-999.25,-999.25,-999.25,-999.25
97.9,21.66703,-999.25,-999.25,-999.25,-999.25
98,21.354633,-999.25,-999.25,-999.25,-999.25
98.1,21.654526,-999.25,-999.25,-999.25,-999.25
98.2,22.546055,-999.25,-999.25,-999.25,-999.25
98.3,23.73624,-999.25,-999.25,-999.25,-999.25
98.4,24.941021,-999.25,-999.25,-999.25,-999.25
98.5,25.869583,-999.25,-999.25,-999.25,-999.25
98.6,26.359058,-999.25,-999.25,-999.25,-999.25
98.7,26.489223,-999.25,-999.25,-999.25,-999.25
98.8,26.302662,-999.25,-999.25,-999.25,-999.25
98.9,25.849388,-999.25,-999.25,-999.25,-999.25
99,25.039181,-999.25,-999.25,-999.25,-999.25
99.1,24.069656,-999.25,-999.25,-999.25,-999.25
99.2,23.307087,-999.25,-999.25,-999.25,-999.25
99.3,22.808002,-999.25,-999.25,-999.25,-999.25
99.4,22.807838,-999.25,-999.25,-999.25,-999.25
99.5,23.355988,-999.25,-999.25,-999.25,-999.25
99.6,24.097813,-999.25,-999.25,-999.25,-999.25
99.7,24.736736,-999.25,-999.25,-999.25,-999.25
99.8,25.210632,-999.25,-999.25,-999.25,-999.25
99.9,25.56052,-999.25,-999.25,-999.25,-999.25
100,25.751785,-999.25,-999.25,-999.25,-999.25
100.1,25.734173,-999.25,-999.25,-999.25,-999.25
100.2,25.534737,-999.25,-999.25,-999.25,-999.25
100.3,25.238453,-999.25,-999.25,-999.25,-999.25
100.4,24.95142,-999.25,-999.25,-999.25,-999.25
100.5,24.967876,-999.25,-999.25,-999.25,-999.25
100.6,25.157757,-999.25,-999.25,-999.25,-999.25
100.7,25.140644,-999.25,-999.25,-999.25,-999.25
100.8,24.987377,-999.25,-999.25,-999.25,-999.25
100.9,24.893078,-999.25,-999.25,-999.25,-999.25
101,25.024284,-999.25,-999.25,-999.25,-999.25
101.1,25.640182,-999.25,-999.25,-999.25,-999.25
101.2,26.498497,-999.25,-999.25,-999.25,-999.25
101.3,27.087578,-999.25,-999.25,-999.25,-999.25
101.4,26.940453,-999.25,-999.25,-999.25,-999.25
101.5,26.233551,-999.25,-999.25,-999.25,-999.25
101.6,25.358204,-999.25,-999.25,-999.25,-999.25
101.7,24.672405,-999.25,-999.25,-999.25,-999.25
101.8,24.267223,-999.25,-999.25,-999.25,-999.25
101.9,24.195587,-999.25,-999.25,-999.25,-999.25
102,24.086121,-999.25,-999.25,-999.25,-999.25
102.1,23.800961,-999.25,-999.25,-999.25,-999.25
102.2,23.4189,-999.25,-999.25,-999.25,-999.25
102.3,23.075554,-999.25,-999.25,-999.25,-999.25
102.4,22.804291,-999.25,-999.25,-999.25,-999.25
102.5,22.529171,-999.25,-999.25,-999.25,-999.25
102.6,22.257145,-999.25,-999.25,-999.25,-999.25
102.7,22.011509,-999.25,-999.25,-999.25,-999.25
102.8,21.867435,-999.25,-999.25,-999.25,-999.25
102.9,21.95652,-999.25,-999.25,-999.25,-999.25
103,22.288116,-999.25,-999.25,-999.25,-999.25
103.1,22.839207,-999.25,-999.25,-999.25,-999.25
103.2,23.342094,-999.25,-999.25,-999.25,-999.25
103.3,23.704506,-999.25,-999.25,-999.25,-999.25
103.4,23.792088,-999.25,-999.25,-999.25,-999.25
103.5,23.686954,-999.25,-999.25,-999.25,-999.25
103.6,23.422421,-999.25,-999.25,-999.25,-999.25
103.7,23.112362,-999.25,-999.25,-999.25,-999.25
103.8,22.842068,-999.25,-999.25,-999.25,-999.25
103.9,22.638935,-999.25,-999.25,-999.25,-999.25
104,22.612122,-999.25,-999.25,-999.25,-999.25
104.1,22.590984,-999.25,-999.25,-999.25,-999.25
104.2,22.408318,-999.25,-999.25,-999.25,-999.25
104.3,22.310631,-999.25,-999.25,-999.25,-999.25
104.4,22.251041,-999.25,-999.25,-999.25,-999.25
104.5,22.088326,-999.25,-999.25,-999.25,-999.25
104.6,21.923344,-999.25,-999.25,-999.25,-999.25
104.7,21.802593,-999.25,-999.25,-999.25,-999.25
104.8,21.764492,-999.25,-999.25,-999.25,-999.25
104.9,21.843124,-999.25,-999.25,-999.25,-999.25
105,22.110615,-999.25,-999.25,-999.25,-999.25
105.1,22.882397,-999.25,-999.25,-999.25,-999.25
105.2,23.962013,-999.25,-999.25,-999.25,-999.25
105.3,25.07922,-999.25,-999.25,-999.25,-999.25
105.4,25.821918,-999.25,-999.25,-999.25,-999.25
105.5,25.929718,-999.25,-999.25,-999.25,-999.25
105.6,25.571312,-999.25,-999.25,-999.25,-999.25
105.7,25.299538,-999.25,-999.25,-999.25,-999.25
105.8,25.367275,-999.25,-999.25,-999.25,-999.25
105.9,25.721859,-999.25,-999.25,-999.25,-999.25
106,26.131947,-999.25,-999.25,-999.25,-999.25
106.1,26.215191,-999.25,-999.25,-999.25,-999.25
106.2,25.853268,-999.25,-999.25,-999.25,-999.25
106.3,25.18655,-999.25,-999.25,-999.25,-999.25
106.4,24.8008,-999.25,-999.25,-999.25,-999.25
106.5,25.048199,-999.25,-999.25,-999.25,-999.25
106.6,25.753445,-999.25,-999.25,-999.25,-999.25
106.7,26.445053,-999.25,-999.25,-999.25,-999.25
106.8,26.761726,-999.25,-999.25,-999.25,-999.25
106.9,26.439541,-999.25,-999.25,-999.25,-999.25
107,25.687374,-999.25,-999.25,-999.25,-999.25
107.1,24.881268,-999.25,-999.25,-999.25,-999.25
107.2,24.277817,-999.25,-999.25,-999.25,-999.25
107.3,23.943157,-999.25,-999.25,-999.25,-999.25
107.4,23.742973,-999.25,-999.25,-999.25,-999.25
107.5,23.641575,-999.25,-999.25,-999.25,-999.25
107.6,23.588985,-999.25,-999.25,-999.25,-999.25
107.7,23.519962,-999.25,-999.25,-999.25,-999.25
107.8,23.242001,-999.25,-999.25,-999.25,-999.25
107.9,22.650394,-999.25,-999.25,-999.25,-999.25
108,21.882034,-999.25,-999.25,-999.25,-999.25
108.1,21.365673,-999.25,-999.25,-999.25,-999.25
108.2,21.455563,-999.25,-999.25,-999.25,-999.25
108.3,22.097206,-999.25,-999.25,-999.25,-999.25
108.4,22.965557,-999.25,-999.25,-999.25,-999.25
108.5,23.650414,-999.25,-999.25,-999.25,-999.25
108.6,24.132549,-999.25,-999.25,-999.25,-999.25
108.7,24.31776,-999.25,-999.25,-999.25,-999.25
108.8,24.277802,-999.25,-999.25,-999.25,-999.25
108.9,24.312881,-999.25,-999.25,-999.25,-999.25
109,24.572796,-999.25,-999.25,-999.25,-999.25
109.1,24.93906,-999.25,-999.25,-999.25,-999.25
109.2,25.276802,-999.25,-999.25,-999.25,-999.25
109.3,25.538857,-999.25,-999.25,-999.25,-999.25
109.4,25.83712,-999.25,-999.25,-999.25,-999.25
109.5,26.305351,-999.25,-999.25,-999.25,-999.25
109.6,26.960217,-999.25,-999.25,-999.25,-999.25
109.7,27.558125,-999.25,-999.25,-999.25,-999.25
109.8,27.696358,-999.25,-999.25,-999.25,-999.25
109.9,27.166084,-999.25,-999.25,-999.25,-999.25
110,26.231861,-999.25,-999.25,-999.25,-999.25
110.1,25.235462,-999.25,-999.25,-999.25,-999.25
110.2,24.703159,-999.25,-999.25,-999.25,-999.25
110.3,24.876778,-999.25,-999.25,-999.25,-999.25
110.4,25.477791,-999.25,-999.25,-999.25,-999.25
110.5,26.118706,-999.25,-999.25,-999.25,-999.25
110.6,26.700859,-999.25,-999.25,-999.25,-999.25
110.7,26.87677,-999.25,-999.25,-999.25,-999.25
110.8,26.510651,-999.25,-999.25,-999.25,-999.25
110.9,25.772789,-999.25,-999.25,-999.25,-999.25
111,25.032982,-999.25,-999.25,-999.25,-999.25
111.1,24.538845,-999.25,-999.25,-999.25,-999.25
111.2,24.226288,-999.25,-999.25,-999.25,-999.25
111.3,24.387726,-999.25,-999.25,-999.25,-999.25
111.4,25.089493,-999.25,-999.25,-999.25,-999.25
111.5,26.176189,-999.25,-999.25,-999.25,-999.25
111.6,27.402561,-999.25,-999.25,-999.25,-999.25
111.7,28.532829,-999.25,-999.25,-999.25,-999.25
111.8,29.168793,-999.25,-999.25,-999.25,-999.25
111.9,28.91029,-999.25,-999.25,-999.25,-999.25
112,27.880848,-999.25,-999.25,-999.25,-999.25
112.1,26.564175,-999.25,-999.25,-999.25,-999.25
112.2,25.161068,-999.25,-999.25,-999.25,-999.25
112.3,23.676231,-999.25,-999.25,-999.25,-999.25
112.4,22.573971,-999.25,-999.25,-999.25,-999.25
112.5,21.959496,-999.25,-999.25,-999.25,-999.25
112.6,21.73835,-999.25,-999.25,-999.25,-999.25
112.7,22.062061,-999.25,-999.25,-999.25,-999.25
112.8,22.607155,-999.25,-999.25,-999.25,-999.25
